County,(To sort by county and year),(To sort by year and county),Year,State and County FIPS Code,Beneficiaries with Part A and Part B,FFS Beneficiaries,MA Beneficiaries,MA Participation Rate (%),Average Age,Percent Female,Percent Male,Percent Non-Hispanic White,Percent African American,Percent Hispanic,Percent Other/Unknown,Percent Eligible for Medicaid,Average HCC Score
Walla Walla,530712017,201753071,2017,53071,11680,10365,1315,0.1,73,0.6,0.4,0.9,0.0,0.1,0.0,0.2,0.96
Whatcom,530732017,201753073,2017,53073,40620,24775,15845,0.4,72,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.88
Whitman,530752017,201753075,2017,53075,5223,5012,211,0.0,73,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.84
Yakima,530772017,201753077,2017,53077,39037,31866,7171,0.2,71,0.5,0.5,0.8,0.0,0.2,0.1,0.2,0.93
STATE TOTAL,.2018,201853000,2018,.,1233158,785486,447672,0.4,72,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.91
Adams,530012018,201853001,2018,53001,2355,2009,346,0.1,71,0.5,0.5,,,,,0.2,0.89
Asotin,530032018,201853003,2018,53003,6025,5032,993,0.2,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.95
Benton,530052018,201853005,2018,53005,32490,31596,894,0.0,71,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.95
Chelan,530072018,201853007,2018,53007,16416,12278,4138,0.3,73,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.91
Clallam,530092018,201853009,2018,53009,25239,24347,892,0.0,73,0.5,0.5,0.9,0.0,0.0,0.1,0.1,0.84
Clark,530112018,201853011,2018,53011,79346,28394,50952,0.6,70,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.98
Columbia,530132018,201853013,2018,53013,1225,1180,45,0.0,72,0.5,0.5,,,,,0.2,0.83
Cowlitz,530152018,201853015,2018,53015,24769,11198,13571,0.5,70,0.5,0.5,0.9,0.0,0.0,0.0,0.3,0.96
Douglas,530172018,201853017,2018,53017,7500,5681,1819,0.2,73,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.93
Ferry,530192018,201853019,2018,53019,2100,2040,60,0.0,70,0.5,0.5,,,,,0.2,0.78
Franklin,530212018,201853021,2018,53021,9498,8957,541,0.1,71,0.5,0.5,0.7,0.0,0.2,0.0,0.2,0.97
Garfield,530232018,201853023,2018,53023,627,610,17,0.0,72,0.5,0.5,,,,,0.2,0.88
Grant,530252018,201853025,2018,53025,14998,12411,2587,0.2,71,0.5,0.5,0.8,0.0,0.1,0.0,0.2,0.95
Grays Harbor,530272018,201853027,2018,53027,18758,17589,1169,0.1,70,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.90
Island,530292018,201853029,2018,53029,21770,15571,6199,0.3,72,0.5,0.5,0.9,0.0,0.0,0.1,0.1,0.78
Jefferson,530312018,201853031,2018,53031,12141,11650,491,0.0,73,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.75
King,530332018,201853033,2018,53033,282055,158370,123685,0.4,73,0.5,0.5,0.8,0.1,0.0,0.1,0.2,0.94
Kitsap,530352018,201853035,2018,53035,50030,37673,12357,0.2,72,0.5,0.5,0.9,0.0,0.0,0.1,0.1,0.86
Kittitas,530372018,201853037,2018,53037,8053,7373,680,0.1,72,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.78
Klickitat,530392018,201853039,2018,53039,5684,5518,166,0.0,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.76
Lewis,530412018,201853041,2018,53041,19572,12307,7265,0.4,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.88
Lincoln,530432018,201853043,2018,53043,2906,2798,108,0.0,72,0.5,0.5,,,,,0.1,0.77
Mason,530452018,201853045,2018,53045,16188,12636,3552,0.2,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.84
Okanogan,530472018,201853047,2018,53047,9970,8647,1323,0.1,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.84
Pacific,530492018,201853049,2018,53049,7709,7296,413,0.1,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.83
Pend Oreille,530512018,201853051,2018,53051,3725,3556,169,0.0,70,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.81
Pierce,530532018,201853053,2018,53053,137681,86173,51508,0.4,71,0.5,0.5,0.8,0.1,0.0,0.1,0.2,0.95
San Juan,530552018,201853055,2018,53055,5459,4297,1162,0.2,73,0.5,0.5,,,,,0.1,0.66
Skagit,530572018,201853057,2018,53057,29017,20072,8945,0.3,72,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.86
Skamania,530592018,201853059,2018,53059,2243,2001,242,0.1,71,0.5,0.5,,,,,0.2,0.78
Snohomish,530612018,201853061,2018,53061,113257,53589,59668,0.5,71,0.5,0.5,0.8,0.0,0.0,0.1,0.2,0.95
Spokane,530632018,201853063,2018,53063,97041,55890,41151,0.4,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.94
Stevens,530652018,201853065,2018,53065,11743,10979,764,0.1,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.81
Thurston,530672018,201853067,2018,53067,54669,32637,22032,0.4,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.86
Wahkiakum,530692018,201853069,2018,53069,1389,960,429,0.3,71,0.5,0.5,,,,,0.2,0.83
Walla Walla,530712018,201853071,2018,53071,12085,10681,1404,0.1,73,0.6,0.4,0.9,0.0,0.1,0.0,0.2,0.97
Whatcom,530732018,201853073,2018,53073,42255,25535,16720,0.4,72,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.89
Whitman,530752018,201853075,2018,53075,5368,5134,234,0.0,72,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.84
Yakima,530772018,201853077,2018,53077,39802,30821,8981,0.2,72,0.5,0.5,0.8,0.0,0.2,0.1,0.2,0.92
